,Sequence id,Sequence,Label,LLM Generated Label
0,5,"[""action(acc_insuranceco, sim swap, acc_tmobile, call, switched to insuranceco's phone)"", 'action(acc_tmobile, identity theft, acc_insuranceco, sms, stolen insuranceco info)', 'action(acc_insuranceco, social engineering, firstfinancial, call, got fake loan offer)', 'action(firstfinancial, loan scam, acc_insuranceco, phone, payout to insuranceco account)', 'transaction(acc_insuranceco, fast payment, acc_sally, 5000.00)']",fraud,legit
1,8,"['action(acc_insuranceco, phishing, acc_tmobile, sms, sent fake login link)', 'action(acc_tmobile, sim swap, acc_insuranceco, call, switched to new number)', 'action(acc_insuranceco, sim swap compromise, acc_sally, call, stolen phone number)', 'action(acc_sally, account takeover, acc_insuranceco, sms, received login link)', 'transaction(acc_insuranceco, fast payment, acc_sally, 10000.00)']",fraud,legit
2,21,"['action(acc_insuranceco, sim swap, acc_tmobile, call, hijacked phone number)', 'action(acc_fishmaster, identity theft, acc_nina, email, sent fake tax refund notice)', 'action(acc_insuranceco, social engineering, acc_wellesley, call, requested sensitive info)', 'action(acc_wellesley, sensitive info submission, acc_insuranceco, sms, sent personal data)', 'transaction(acc_insuranceco, fast payment, acc_nina, 5000.00)']",fraud,legit
3,22,"['action(acc_insuranceco, phishing, acc_wellesley, email, sent fake invoice)', 'action(acc_wellesley, sensitive info submission, acc_insuranceco, sms, sent w2 form)', 'action(acc_insuranceco, sim swap, acc_tmobile, call, switched phone line)', 'action(acc_tmobile, identity theft, acc_wellesley, call, stolen identity info)', 'action(acc_wellesley, account takeover, acc_fishmaster, sms, gained access to account)', 'transaction(acc_wellesley, fast payment, acc_fishmaster, 5000.00)']",fraud,legit
4,24,"['action(acc_insuranceco, phishing, acc_sally, email, sent a suspicious email)', 'action(acc_insuranceco, account takeover, acc_sally, call, gained access to account)', 'action(acc_insuranceco, sim swap, acc_sally, sms, swapped phone number)', 'transaction(acc_sally, fast payment, acc_insuranceco, 5000.00)', 'action(acc_insuranceco, money laundering, fishmaster, call, transferred funds)', 'action(fishmaster, money transfer, bankofamerica, wire, received stolen money)', 'transaction(bankofamerica, fast payment, acc_insuranceco, -3000.00)']",fraud,legit
5,25,"[""action(acc_nina, sim swap, acc_fishmaster, call, switched nina's phone to fishmaster's number)"", ""action(acc_conedison, sensitive info submission, acc_fishmaster, sms, sent con edison's ssn)"", ""action(acc_fishmaster, identity theft, acc_conedison, call, stole con edison's identity)"", 'transaction(acc_conedison, fast payment, acc_fishmaster, 5000.00)']",fraud,legit
6,27,"['action(acc_insuranceco, phishing, acc_sally, email, sent fake link to download insurance software)', 'action(acc_insuranceco, account takeover, acc_grace, sms, obtained login credentials)', ""action(acc_insuranceco, sim swap, chase, call, switched phone number with scammer's)"", 'transaction(acc_insuranceco, fast payment, acc_sally, 5000.00)']",fraud,legit
7,40,"['action(acc_sally, phishing, acc_insuranceco, call, sent fake login link)', 'action(acc_insuranceco, ssn harvesting, acc_sally, email, collected ssn and dob)', 'action(acc_insuranceco, social engineering, bankofamerica, sms, tricked into transferring funds)', 'transaction(acc_sally, fast payment, acc_insuranceco, 5000.00)', ""action(acc_insuranceco, account takeover, firstfinancial, call, gained access to acc_sally's account)"", 'transaction(acc_insuranceco, fast payment, acc_sally, -5000.00)']",fraud,legit
8,46,"[""action(acc_nina, sim swap, acc_tmobile, phone, hijacked nina's phone number)"", 'action(acc_tmobile, account takeover, acc_nina, sms, sent login credentials)', 'action(acc_insuranceco, phishing, acc_nina, email, sent fake policy update)', 'transaction(acc_nina, fast payment, acc_insuranceco, 5000.00)']",fraud,legit
9,49,"['action(acc_sally, account takeover, acc_insuranceco, call, compromised login credentials)', 'action(acc_insuranceco, sim swap, acc_tmobile, sms, sent new phone number)', 'action(acc_tmobile, social engineering, acc_bluediner, call, impersonated as bank rep)', 'action(acc_bluediner, phishing, fishmaster, email, sent fake invoice)', 'transaction(acc_sally, fast payment, acc_insuranceco, 5000.00)']",fraud,legit
10,50,"['action(acc_insuranceco, sim swap, acc_tmobile, call, switched to alternative number)', 'action(acc_fishmaster, phishing, acc_sally, email, sent fake invoice)', 'action(acc_sally, account takeover, fishmaster, sms, received verification code)', 'action(acc_conedison, password reset, fishmaster, phone, changed password)', 'action(fishmaster, transactional login, acc_sally, call, gained access to account)', 'transaction(acc_sally, fast payment, acc_fishmaster, 5000.00)']",fraud,legit
11,53,"['action(acc_insuranceco, phishing, acc_tmobile, email, sent fake login link)', 'action(acc_fishmaster, sim swap, acc_nina, call, possed as t-mobile agent)', 'action(acc_bluediner, social engineering, firstfinancial, phone, fake bank rep)', 'transaction(acc_nina, fast payment, acc_fishmaster, 5000.00)']",fraud,legit
12,56,"['action(acc_insuranceco, phishing, acc_sally, email, sent fraudulent insurance policy)', 'action(acc_insuranceco, account takeover, acc_sally, call, obtained login credentials)', 'action(acc_insuranceco, sim swap, acc_sally, sms, exchanged phone number with fake one)', 'transaction(acc_sally, fast payment, acc_insuranceco, 1000.00)']",fraud,legit
13,58,"['action(acc_sally, sim swap, acc_tmobile, sms, switched phone number)', 'action(acc_tmobile, account takeover, acc_sally, email, hacked account)', 'action(acc_insuranceco, phishing scam, acc_grace, phone, fake policy details)', 'transaction(acc_sally, fast payment, acc_insuranceco, 15000.00)']",fraud,legit
14,82,"['action(acc_grace, identity theft, acc_insuranceco, email, obtained login credentials)', 'action(acc_insuranceco, account takeover, acc_grace, call, sent confirmation code)', 'action(acc_insuranceco, sim swap, chase, sms, swapped phone number)', 'transaction(acc_grace, fast payment, acc_insuranceco, 5000.00)']",fraud,legit
